title,author,genre
1984,Джордж Оруэлл,Антиутопия
Преступление и наказание,Фёдор Достоевский,Классика
Мастер и Маргарита,Михаил Булгаков,Мистика
Унесённые ветром,Маргарет Митчелл,Исторический роман
Великий Гэтсби,Фрэнсис Скотт Фицджеральд,Классика
Гарри Поттер и философский камень,Дж. К. Роулинг,Фэнтези
Война и мир,Лев Толстой,История
Анна Каренина,Лев Толстой,Классика
Три товарища,Эрих Мария Ремарк,Драма
Человек в высоком замке,Филип К. Дик,Альтернативная история
Пикник на обочине,Аркадий и Борис Стругацкие,Научная фантастика
451 градус по Фаренгейту,Рэй Брэдбери,Антиутопия
Маленький принц,Антуан де Сент-Экзюпери,Притча
Игра престолов,Джордж Р. Р. Мартин,Фэнтези
Над пропастью во ржи,Джером Сэлинджер,Классика
Маленькие женщины,Луиза Мэй Олкотт,Семейная сага
Дюна,Фрэнк Герберт,Фантастика
Портрет Дориана Грея,Оскар Уайльд,Готика
Моби Дик,Герман Мелвилл,Приключения
Белый клык,Джек Лондон,Приключения
Доктор Живаго,Борис Пастернак,Роман
Кандид,Вольтер,Философия
Алхимик,Пауло Коэльо,Притча
Мемуары гейши,Артур Голден,Историческая проза
Ночной дозор,Сергей Лукьяненко,Фэнтези
Пробуждение,Кейт Шопен,Феминизм
Цветы для Элджернона,Даниел Киз,Научная фантастика
Сто лет одиночества,Габриэль Гарсиа Маркес,Магический реализм
Обломов,Иван Гончаров,Классика
Капитанская дочка,Александр Пушкин,История
Коллекционер,Джон Фаулз,Психологический триллер
Замок,Франц Кафка,Экзистенциализм
Невыносимая лёгкость бытия,Милан Кундера,Философский роман
Шантарам,Грегори Дэвид Робертс,Автобиографическая проза
Американская трагедия,Теодор Драйзер,Критический реализм
Тень горы,Грегори Дэвид Робертс,Приключения
Бойцовский клуб,Чак Паланик,Современная проза
Пятая гора,Пауло Коэльо,Притча
Скотный двор,Джордж Оруэлл,Сатира
Зов Ктулху,Говард Лавкрафт,Ужасы
Тёмные аллеи,Иван Бунин,Лирика
Парижская тайна,Каролин Брукс,Детектив
Час Быка,Иван Ефремов,Фантастика
Корабль дураков,Кэтрин Энн Портер,Социальный роман
Полет над гнездом кукушки,Кен Кизи,Психология
Сиддхартха,Герман Гессе,Духовный роман
Город мечтающих книг,Вальтер Моэрс,Фантазия
Золотая ветвь,Джеймс Фрэзер,Антропология
Письма незнакомке,Андре Моруа,Литературная публицистика
